Reference, FixingDate, EffectiveDate, MaturityDate, Value
USD-SOFRCMP-OFFSET2-3M,2017-01-30,2017-01-26,2017-04-26,0.006460644153256645
USD-SOFRCMP-OFFSET2-3M,2017-01-31,2017-01-27,2017-04-27,0.006490692165714407
USD-SOFRCMP-OFFSET2-3M,2017-02-01,2017-01-30,2017-04-28,0.006548293543839295
USD-SOFRCMP-OFFSET2-3M,2017-02-02,2017-01-31,2017-04-28,0.006562545130251815
USD-SOFRCMP-OFFSET2-3M,2017-02-03,2017-02-01,2017-05-01,0.0066513975359415835
USD-SOFRCMP-OFFSET2-3M,2017-02-06,2017-02-02,2017-05-02,0.00668178402739406
USD-SOFRCMP-OFFSET2-3M,2017-02-07,2017-02-03,2017-05-03,0.00670991989427713
USD-SOFRCMP-OFFSET2-3M,2017-02-08,2017-02-06,2017-05-08,0.006821121032579788
USD-SOFRCMP-OFFSET2-3M,2017-02-09,2017-02-07,2017-05-08,0.0068379217079801435
USD-SOFRCMP-OFFSET2-3M,2017-02-10,2017-02-08,2017-05-08,0.0068573517723654566
USD-SOFRCMP-OFFSET2-3M,2017-02-13,2017-02-09,2017-05-09,0.006887739850662746
USD-SOFRCMP-OFFSET2-3M,2017-02-14,2017-02-10,2017-05-10,0.006912500665238972
USD-SOFRCMP-OFFSET2-3M,2017-02-15,2017-02-13,2017-05-15,0.007001649790614632
USD-SOFRCMP-OFFSET2-3M,2017-02-16,2017-02-14,2017-05-15,0.007020453653828085
USD-SOFRCMP-OFFSET2-3M,2017-02-17,2017-02-15,2017-05-15,0.007040806488727441
USD-SOFRCMP-OFFSET2-3M,2017-02-20,2017-02-16,2017-05-16,0.007068944840964455
USD-SOFRCMP-OFFSET2-3M,2017-02-21,2017-02-16,2017-05-16,0.007068944840964455
USD-SOFRCMP-OFFSET2-3M,2017-02-22,2017-02-17,2017-05-17,0.007098208954895672
USD-SOFRCMP-OFFSET2-3M,2017-02-23,2017-02-21,2017-05-22,0.007224144690090029
USD-SOFRCMP-OFFSET2-3M,2017-02-24,2017-02-22,2017-05-22,0.007249034398836596
USD-SOFRCMP-OFFSET2-3M,2017-02-27,2017-02-23,2017-05-23,0.007278299829647901
USD-SOFRCMP-OFFSET2-3M,2017-02-28,2017-02-24,2017-05-24,0.0073075654718254114
USD-SOFRCMP-OFFSET2-3M,2017-03-01,2017-02-27,2017-05-30,0.007448221938282289
USD-SOFRCMP-OFFSET2-3M,2017-03-02,2017-02-28,2017-05-30,0.007473920694424646
USD-SOFRCMP-OFFSET2-3M,2017-03-03,2017-03-01,2017-06-01,0.007522274945896099
USD-SOFRCMP-OFFSET2-3M,2017-03-06,2017-03-02,2017-06-02,0.0075625690898323515
USD-SOFRCMP-OFFSET2-3M,2017-03-07,2017-03-03,2017-06-05,0.00762016691972953
USD-SOFRCMP-OFFSET2-3M,2017-03-08,2017-03-06,2017-06-06,0.007711765760737916
USD-SOFRCMP-OFFSET2-3M,2017-03-09,2017-03-07,2017-06-07,0.007747705507996156
USD-SOFRCMP-OFFSET2-3M,2017-03-10,2017-03-08,2017-06-08,0.007785823781750987
USD-SOFRCMP-OFFSET2-3M,2017-03-13,2017-03-09,2017-06-09,0.007827209738465688
USD-SOFRCMP-OFFSET2-3M,2017-03-14,2017-03-10,2017-06-12,0.007891982980617057
USD-SOFRCMP-OFFSET2-3M,2017-03-15,2017-03-13,2017-06-13,0.007997109616117607
USD-SOFRCMP-OFFSET2-3M,2017-03-16,2017-03-14,2017-06-14,0.008040676128669072
USD-SOFRCMP-OFFSET2-3M,2017-03-17,2017-03-15,2017-06-15,0.00808533227538778
USD-SOFRCMP-OFFSET2-3M,2017-03-20,2017-03-16,2017-06-16,0.008155040205767922
USD-SOFRCMP-OFFSET2-3M,2017-03-21,2017-03-17,2017-06-19,0.008273619309258263
USD-SOFRCMP-OFFSET2-3M,2017-03-22,2017-03-20,2017-06-20,0.008330396859002538
USD-SOFRCMP-OFFSET2-3M,2017-03-23,2017-03-21,2017-06-21,0.00836307429384926
USD-SOFRCMP-OFFSET2-3M,2017-03-24,2017-03-22,2017-06-22,0.008392484230285014
USD-SOFRCMP-OFFSET2-3M,2017-03-27,2017-03-23,2017-06-23,0.008421894387287809
